	Coexpression	CC-124 Dark anoxic .5 hour	CC-124 Dark anoxic 6 hours	CC-124 Light oxic	crr1 Dark oxic .5 hour	crr1 Dark oxic 6 hours (1)	crr1 Dark oxic 6 hours (2)	crr1 Light oxic (1)	crr1 Light oxic (2)	crr1:CRR1 Dark anoxic .5 hour (1)	crr1:CRR1 Dark anoxic .5 hour (2)	crr1:CRR1 Dark anoxic 6 hours (1)	crr1:CRR1 Dark anoxic 6 hours (2)	crr1:CRR1 Light oxic (1)	crr1:CRR1 Light oxic (2)	crr1dCys Dark anoxic .5 hour (1)	crr1dCys Dark anoxic .5 hour (2)	crr1dCys Dark anoxic 6 hours (1)	crr1dCys Dark anoxic 6 hours (2)	crr1dCys Light oxic (1)	crr1dCys Light oxic (2)	defline
Cre07.g317250	1	4.25686	3.50328	7.16164	8.43995	4.84045	4.11809	8.68651	9.42573	8.07627	6.89336	2.78541	4.28768	9.61228	8.01133	6.8737	7.43927	6.09411	4.35448	14.2185	10.3886	(1 of 1) PTHR13281:SF0 - TRANSMEMBRANE PROTEIN 70, MITOCHONDRIAL
Cre12.g540051	0.927147	3.30327	1.54222	6.32003	6.80015	2.1616	2.31317	11.4385	11.6342	7.02353	6.44755	0.83915	1.10291	10.5344	10.9615	6.20794	5.96532	2.1676	2.64043	12.0966	11.8723	Ubiquitin-associated protein
Cre01.g023050	0.926402	6.31764	4.6167	9.4997	9.27586	7.17191	5.54157	10.4122	9.00251	10.7518	9.10932	4.05625	5.40076	11.2223	9.9826	8.84445	7.97145	6.47371	6.47971	10.2247	11.7097	predicted protein
Cre03.g182150	0.925699	65.4387	45.9209	87.5467	95.6755	58.3243	45.1382	106.668	110.16	92.8475	75.5978	45.1376	49.373	106.467	111.104	91.6995	83.5286	71.8083	76.6925	116.063	107.285	Putative thioredoxin
Cre01.g037800	0.923259	9.40721	7.5549	11.4979	11.0281	7.96699	7.85698	14.5178	12.8866	12.1027	10.8744	5.8496	7.66635	12.7065	12.7077	10.9267	10.3026	10.9821	10.5539	15.089	12.7987	
Cre10.g430000	0.917538	41.6303	29.6365	50.7363	64.3183	34.8702	36.4594	64.1302	59.5179	56.8024	46.8468	25.9705	36.4909	67.0555	63.7476	45.2347	50.8723	40.9756	42.3951	62.0362	54.9307	(1 of 6) KOG0198//KOG0583 - MEKK and related serine/threonine protein kinases // Serine/threonine protein kinase
Cre03.g205950	0.915368	10.5492	1.76412	14.518	18.2642	5.94943	3.02568	19.8699	22.349	12.7996	10.6653	1.72307	4.07576	15.3941	17.3767	13.2476	12.0773	5.53637	4.28482	22.0063	19.3333	(1 of 1) KOG3377 - Uncharacterized conserved protein
Cre12.g551900	0.91373	23.9938	7.91223	33.7143	32.3333	11.707	11.3766	53.5299	44.1131	40.167	27.7649	2.56631	6.44191	42.7379	41.3735	31.6112	25.9545	15.3047	16.7255	59.9995	57.1048	ycf32-related polyprotein of photosystem II
Cre10.g452100	0.913351	211.005	174.615	284.673	407.031	217.299	167.236	507.83	484.241	347.939	277.565	86.953	193.317	425.929	462.328	355.651	379.359	276.691	303.268	457.74	493.704	membrane AAA-metalloprotease, chloroplast
Cre17.g720050	0.912241	66.7364	50.3418	68.1376	100.703	78.5911	60.7123	99.9848	102.673	87.2138	75.7039	57.9393	68.7825	89.5113	97.9715	87.912	86.8965	67.1564	67.2762	124.441	115.797	Zinc/iron transporter
Cre03.g189550	0.911146	11.1827	8.59198	11.5896	13.9655	6.12373	7.44848	19.9324	16.5448	15.8794	13.1537	4.8206	5.85751	18.044	18.0516	14.9946	16.2928	11.0792	10.2578	24.8498	23.334	Fe superoxide dismutase
Cre10.g436050	0.908285	195.719	135.142	268.844	274.35	161.73	140.717	405.063	368.703	289.199	201.115	127.327	154.161	318.906	391.118	280.014	287.791	239.073	262.862	438.34	432.932	(1 of 1) PTHR10264//PTHR10264:SF27 - BAND 7 PROTEIN-RELATED // STOMATIN-LIKE PROTEIN 2, MITOCHONDRIAL
Cre19.g750847	0.90522	7.55148	4.12095	11.1284	10.2409	6.71054	5.02458	16.8326	14.6829	10.0436	8.67097	4.24898	3.65493	12.0888	14.8223	8.38514	8.89493	5.73508	6.44424	17.6587	19.1364	Low-CO2-inducible protein
Cre09.g394473	0.904214	10.7393	0.237705	18.4321	78.4586	3.171	1.50548	89.4728	102.025	47.1175	25.3167	0.899999	1.22615	47.8654	77.1236	73.2683	66.3072	4.23146	2.70467	108.202	93.8865	possible chloroplast protein translocon component Tic62
Cre06.g269050	0.902904	34.7366	25.2058	51.8329	47.9834	27.3863	22.6177	59.2857	63.4304	41.7571	34.7334	15.5823	22.3469	54.2659	59.0954	39.1878	39.747	28.7936	34.2021	58.4093	57.9442	Fructan fructosyltransferase
Cre12.g501900	0.899377	0.293306	0.210524	0.366916	0.48325	0.522912	0.322434	0.665801	0.665089	0.53803	0.39357	0.165002	0.285976	0.548963	0.590832	0.399142	0.379911	0.430844	0.30713	0.733019	0.891979	(1 of 1) PTHR13523 - COILED-COIL-HELIX-COILED-COIL-HELIX DOMAIN CONTAINING 2/NUR77
Cre02.g146700	0.897901	93.3442	58.6343	113.014	117.973	91.8567	89.8211	135.422	134.667	129.121	98.737	69.9868	76.7876	132.31	128.964	110.489	106.828	100.783	105.908	135.27	151.346	FtsH-like membrane ATPase/metalloprotease
Cre12.g485800	0.896341	54.4421	32.5376	61.1174	78.9273	50.0597	40.1789	72.9992	81.7632	72.7954	66.037	34.5984	44.147	67.1957	74.8242	66.9254	66.6088	36.5273	38.4695	84.5872	86.9745	(1 of 2) 5.5.1.6 - Chalcone isomerase / Chalcone--flavanone isomerase
Cre12.g517100	0.896257	18.9742	14.1376	22.765	25.4536	19.9355	17.9958	25.019	23.2014	23.8879	18.8461	14.37	17.3852	26.4762	25.3693	20.9834	23.232	20.9436	20.1974	24.3557	27.7101	(1 of 1) PTHR12952//PTHR12952:SF0 - SYS1 // PROTEIN SYS1 HOMOLOG-RELATED
Cre10.g423950	0.895296	10.9867	10.2741	12.2656	20.0535	11.9389	10.7074	19.8224	17.4766	16.1711	13.8287	8.62862	10.5952	15.0431	17.9477	13.8888	12.4878	12.784	9.76201	18.5033	16.516	Phosphoglucomutase
Cre06.g278210	0.892106	66.2899	25.7209	81.5442	66.6152	38.6099	30.7674	111.487	100.699	68.1242	61.9322	11.085	28.5474	91.8733	91.2773	67.1933	67.6505	42.4994	49.9281	106.452	115.39	LCI12 paralog
Cre17.g719150	0.89184	1.95841	0.284049	2.96972	2.56386	0.777073	0.345674	7.39444	5.98902	3.75324	1.29101	0.353949	0.30683	3.00123	7.12179	4.50345	2.75682	0.868402	1.02203	12.2843	5.76001	
Cre01.g022700	0.88984	1.17045	0.365779	0.977375	3.27423	1.56596	0.982362	3.35331	4.43522	2.55555	2.38495	0.300392	0.932785	3.41878	3.9562	2.15586	2.06347	0.691981	0.71529	3.78292	3.69685	rubredoxin
Cre07.g315150	0.889661	39.7378	35.2186	66.725	58.1083	38.0368	39.7855	81.3533	73.9985	57.2567	58.2247	39.788	39.9436	87.2784	73.4644	53.4357	53.2118	49.2319	51.2352	77.6957	71.8911	
Cre01.g051500	0.88567	744.127	411.518	911.217	1149.96	629.187	504.492	1383.86	1424.4	1116.8	881.846	314.105	569.93	1343.05	1308.26	1010.44	1060.21	924.1	1053.42	1222.75	1257.89	(1 of 1) 1.1.1.287 - D-arabinitol dehydrogenase (NADP(+)) / NADP(+)-dependent D-arabinitol dehydrogenase
Cre07.g315750	0.885408	142.157	60.2232	154.788	162.67	87.8809	69.2809	187.122	188.078	162.114	153.341	46.3757	67.2275	191.561	165.82	157.4	159.62	112.949	112.756	174.531	179.118	Clathrin light chain
Cre03.g155650	0.884959	42.2326	20.7489	53.0419	37.6422	29.0839	30.3485	55.2463	50.3684	41.2718	48.5903	20.6261	23.1378	57.5377	49.8067	48.6864	49.9655	32.8679	36.2215	68.3152	71.4142	(1 of 3) PTHR13748//PTHR13748:SF43 - COBW-RELATED // SUBFAMILY NOT NAMED
Cre16.g685100	0.884861	0.422203	0.240754	0.350951	1.39345	0.168263	0.499069	8.84512	11.0155	1.49384	0.815587	0.146629	0.232288	4.62056	8.26449	1.7222	1.85184	0.650324	0.249087	15.7684	12.7923	ER-Golgi Qa-SNARE protein, Syntaxin5/Syx5/Sed5/Syp3-family (Qa.II)
Cre16.g692050	0.884849	9.32925	6.4796	11.7953	10.2935	9.94512	8.30828	13.4937	12.7668	11.9104	10.2091	5.06066	7.37056	12.5587	12.6897	8.41471	9.17956	7.83584	8.72328	13.9964	13.1718	Photosystem II Oxygen Evolution Enhancer protein 2
Cre12.g550850	0.884334	1241.07	757.212	1538.29	1878.24	1077.68	882.079	2416.31	2221.79	1767.86	1377.26	290.845	935.604	2168.61	2330.06	1670.01	1662.74	1308.72	1462.97	2209.5	2284.24	
Cre03.g189350	0.883358	12.8948	5.68705	16.6353	26.0678	10.7281	8.93828	48.2641	41.9352	22.328	17.5093	0.860053	7.42781	36.6808	37.7517	31.4354	31.1237	18.822	21.3472	53.682	59.9861	(1 of 3) PF03067 - Chitin binding domain (Chitin_bind_3)
Cre06.g273100	0.882264	13.9934	10.8941	11.7201	28.4686	14.6451	12.197	19.7496	23.6322	34.6292	29.769	4.96415	12.1493	27.4931	27.2494	35.4138	26.9655	16.3706	9.67948	50.8631	33.1039	Xylosyl transferase
Cre09.g391282	0.880864	9.86377	6.41593	13.162	9.33548	5.20731	4.93577	13.0315	11.036	11.2406	12.0876	3.61447	5.55467	15.0776	11.017	10.2977	9.48467	7.98034	7.16088	15.5453	13.3535	Rieske [2Fe-2S] domain, putative, chloroplast location proposed
